sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
48,34,1,816.85,197.48,797.14,1.24
108,103,19,273.33,245.08,169.66,2.73
111,40,4,632.38,325.5,560.36,1.63
110,50,4,682.64,281.6,642.3,1.38
41,43,16,115.1,152.81,79.08,2.23
43,23,16,665.56,537.38,592.24,1.52
33,65,16,129.03,119.59,88.25,2.67
36,35,16,149.48,137.4,114.48,2.11
52,80,2,464.38,245.33,415.16,1.58
57,30,2,343.1,99.16,326.99,1.38
115,121,0,284.38,343.16,159.72,3.02
51,90,2,338.62,88.86,329.72,1.24
42,33,16,679.6,203.49,648.92,1.36
128,24,4,484.68,174.15,459.86,1.37
66,111,0,356.65,113.88,341.27,1.33
80,44,18,883.07,186.38,861.7,1.26
128,74,5,494.18,230.49,452.26,1.51
127,84,5,229.89,80.63,204.61,1.79
55,50,2,405.43,175.13,374.64,1.47
48,70,12,750.25,217.6,718.69,1.34
47,80,12,160.63,198.6,96.62,2.53
79,138,23,328.33,70.53,320.64,1.25
101,33,5,508.8,146.61,491.66,1.28
31,11,12,1307.85,309.36,1273.55,1.26
63,11,18,579.14,168.8,560.93,1.27
61,31,18,808.91,228.24,779.91,1.3
52,41,8,553.15,154.38,534.1,1.3
53,31,8,246.41,212.03,141.57,3.35
27,87,20,446.14,121.05,426.55,1.38
55,11,8,1048.08,206.68,1028.94,1.21
72,73,23,282.32,211.59,206.04,2.55
75,43,23,589.58,224.62,551.68,1.43
29,67,20,854.18,201.3,826.59,1.31
21,136,3,359.71,291.71,254.29,2.5
