sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
136,47,19,135.35,124.33,95.63,2.38
138,27,19,1394.5,355.61,1354.76,1.27
50,75,20,513.67,276.28,447.3,1.7
52,55,20,197.76,89.95,179.88,1.58
42,58,22,950.67,156.85,938.03,1.18
54,35,20,989.14,279.51,949.76,1.33
46,55,4,549.8,183.44,525.08,1.34
45,65,4,429.63,290.97,357.1,1.79
58,34,13,498.22,156.56,474.97,1.36
53,84,13,800.47,177.66,779.86,1.26
164,143,14,143.72,89.1,114.58,2.4
55,25,20,717.53,188.7,692.62,1.31
44,75,4,402.11,241.56,353.21,1.62
134,67,19,560.95,219.7,517.18,1.51
51,65,20,957.44,213.28,933.42,1.25
34,62,16,264.53,124.22,240.86,1.53
141,143,10,195.02,129.44,167.09,1.71
43,85,4,494.71,162.22,467.81,1.4
31,92,16,243.07,214.02,178.5,2.09
84,52,21,400.8,200.56,368.07,1.48
81,82,21,168.61,155.56,106.23,3.09
98,37,21,63.46,40.19,52.01,1.87
75,132,23,574.98,299.16,526.58,1.47
124,137,21,144.0,44.64,136.97,1.38
87,22,21,459.39,335.83,366.5,1.99
36,73,10,783.98,298.68,735.5,1.42
33,72,16,802.91,214.78,775.47,1.3
86,32,21,842.0,190.45,820.13,1.26
49,25,4,331.44,172.12,298.04,1.55
46,67,22,574.43,331.67,517.77,1.53
48,47,22,494.92,196.32,460.8,1.49
85,42,21,652.22,102.88,644.31,1.17
47,57,22,708.0,177.28,687.04,1.27
130,22,9,1188.23,323.43,1144.64,1.32
44,87,22,1048.75,159.73,1036.32,1.17
53,45,20,802.82,139.47,790.87,1.19
138,136,15,280.64,319.59,187.79,2.55
47,45,4,645.29,468.54,527.39,1.82
34,36,10,338.3,177.73,298.17,1.65
36,16,10,971.76,193.22,956.31,1.19
23,63,18,811.64,268.0,775.77,1.34
35,26,10,519.3,313.97,455.85,1.61
51,80,14,446.75,210.19,414.54,1.44
32,56,10,263.42,192.1,228.87,1.58
22,73,18,913.41,360.11,838.24,1.58
165,166,7,214.5,175.14,141.05,2.86
52,70,14,1187.33,387.71,1134.44,1.34
33,46,10,1161.93,527.91,1078.34,1.43
24,53,18,975.38,339.05,927.32,1.36
12,47,12,723.97,212.14,693.88,1.34
27,23,18,208.58,159.92,153.53,2.5
54,50,14,503.0,130.17,488.45,1.26
36,42,16,645.36,316.79,582.89,1.55
25,43,18,680.88,271.4,633.55,1.46
40,46,19,432.01,180.87,400.78,1.46
41,36,19,300.7,200.77,261.52,1.7
43,16,19,1189.31,302.14,1155.86,1.26
42,26,19,816.12,200.37,793.41,1.26
28,78,20,974.23,368.84,917.77,1.4
26,33,18,902.96,297.41,858.02,1.37
26,98,20,636.63,201.95,602.97,1.4
21,83,18,936.5,310.24,894.38,1.34
29,68,20,836.6,401.72,771.1,1.46
111,7,10,446.5,63.71,441.81,1.16
110,130,14,614.24,351.46,559.24,1.48
112,110,14,695.0,246.91,652.32,1.43
64,132,5,349.67,158.06,329.23,1.36
11,8,11,282.75,88.84,271.98,1.3
48,138,20,668.68,365.13,599.67,1.57
78,65,2,395.83,82.86,388.18,1.21
44,78,5,747.1,471.24,666.14,1.53
66,112,5,367.14,233.94,298.76,1.89
45,68,5,283.56,185.98,214.44,2.37
49,128,20,843.33,283.58,804.24,1.34
47,48,5,577.77,203.93,542.43,1.43
48,38,5,645.88,281.83,586.86,1.55
38,22,16,666.96,208.82,639.14,1.33
130,38,4,389.71,130.65,370.61,1.36
51,164,15,393.59,122.83,379.1,1.3
29,164,20,923.1,250.74,889.12,1.32
112,11,5,770.28,257.86,731.34,1.37
110,31,5,738.0,175.52,716.28,1.28
41,40,15,172.82,205.64,134.03,1.9
42,30,15,1041.29,394.88,973.98,1.43
28,25,9,444.0,215.19,392.46,1.71
24,65,9,815.43,211.33,790.66,1.28
66,68,22,168.36,133.07,138.06,1.83
69,38,22,714.77,476.5,614.29,1.67
27,35,9,229.28,139.45,189.11,1.96
63,98,22,471.32,222.42,432.42,1.48
29,86,19,946.67,247.18,914.38,1.3
23,75,9,916.79,280.09,874.28,1.37
58,83,3,482.35,195.35,450.75,1.42
25,55,9,759.47,230.57,734.9,1.27
68,48,22,820.44,244.52,790.64,1.3
22,85,9,1095.82,304.66,1054.81,1.32
136,15,1,465.82,42.38,463.72,1.1
22,128,10,1107.96,208.61,1089.15,1.2
21,138,10,543.5,127.8,528.37,1.27
138,74,23,474.97,210.12,430.4,1.57
27,105,15,1163.14,285.1,1131.15,1.26
65,78,22,529.33,340.86,474.06,1.51
50,61,13,426.23,129.51,412.14,1.28
55,11,13,1331.56,391.31,1284.14,1.3
117,29,10,901.17,107.21,894.44,1.13
53,31,13,290.02,258.75,190.39,2.81
52,41,13,908.71,274.43,868.95,1.35
51,23,9,631.09,191.15,603.8,1.34
66,128,12,397.96,175.12,367.19,1.49
65,138,12,526.71,209.03,494.47,1.4
54,44,1,698.0,261.2,655.69,1.42
53,54,1,119.57,117.55,73.12,3.23
130,75,1,618.36,266.21,565.9,1.52
50,84,1,269.84,178.83,239.7,1.54
23,145,15,1017.29,184.23,998.94,1.22
